SMILE A,SMILE B
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O
[*]C(F)(C(F)([*])F)F,[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O
[*]CC([*])N1CCCC1=O,[*]C/C=C/C[*]
[*]C1=C2C(OCCO2)=C([*])S1,[*]CC([*])CC
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],[*]CC([*])CC
[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,O=C(N([*])C([*])=O)CC=C
[*]CCN[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]C1=C2C(OCCO2)=C([*])S1,[*]C/C=C\CCC(C=C)[*]
O=C(N)C([*])C[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[*]C(CCCCCO[*])=O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],CC(CO[*])[*]
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
[*]C(CCCCCO[*])=O,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,[*]C(C(CCCCN[*])N)=O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*]
[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,[*]C(C(CCCCN[*])N)=O
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC=CCCC(C#N)[*]
O=C([*])CCCCCN[*],OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]C(C)C[*],[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O
[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
O=C([*])CCCCCO[*],[*]NC(CCC([*])=O)C(O)=O
C[Si](C)(C[*])O[*],[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*]
[*]CC(C(OCC)=O)[*],[*]C1=C2C(OCCO2)=C([*])S1
[*]C(F)(C(F)([*])F)F,OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O
[*]C1=C2C(OCCO2)=C([*])S1,CC(O[*])CC([*])=O
COC(C(C[*])([*])C)=O,[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O
O=C(N)C([*])C[*],O=C1CCCN1C([*])C[*]
[*]C/C=C/C[*],[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,O=C1C([*])C(CC[*])C(O1)=O
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O
[*]C(C(O[*])C)=O,CC(O[*])CC([*])=O
O=C(C(C[*])[*])N,[*]CC(OC(O[*])=O)C
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
[*]C1=CC=C([*])N1,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
O=C1CCCN1C([*])C[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]CCN[*],[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O
C[Si](C)(C[*])O[*],[*]C/C=C/C[*]
[*]C(C)C[*],[*]C(C(O[*])C)=O
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,[*]C(N[*])=O
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,CC(O[*])CC([*])=O
[*]C(C=C1)=CC=C1S[*],[*]C(N[*])=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,O=C1C([*])C(CC[*])C(O1)=O
[*]CC=CCCC(C#N)[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,O=C1C([*])C(CC[*])C(O1)=O
O=C(O[*])CCCCCCCCCCN[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
[*]CCCC([*])OC(C)=O,OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O
[*]CCC(CCCCCC)C[*],CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O
[*]CC(C1=CC=CC=C1)[*],[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
CC(CO[*])[*],[*]CCCC(C(O)=O)[*]
[*]CC(C(CCC)=O)([*])C,[*]C(C)(C(OCCN(C)C)=O)C[*]
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCCCCOC(CCC([*])=O)=O
[*]C(C(O[*])C)=O,[*]CCCC(C(O)=O)[*]
C[Si](O[*])(C)[*],[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,OC1C(OC(C(C1O)O)[*])CO[*]
[*]CC([*])N1CCCC1=O,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*]
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]C(C=C1)=CC=C1S[*],[*]C(C(O[*])C)=O
[*]C(C)C(OCC(O[*])=O)=O,O=C1C([*])C(CC[*])C(O1)=O
[*]CC(C#N)[*],[*]C(F)(C(F)([*])F)F
[*]CCCC(CCCCCC)[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]C(F)(C(F)([*])F)F
[*]CCCC(CCCCCC)[*],[*]NC(CCC([*])=O)C(O)=O
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,CCCCCCC1=C(SC([*])=C1)[*]
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
[*]OCC[*],[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],O=C([*])CCCCC(NCCCCN[*])=O
[*]OCC[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C(C(OC(O[*])C=O)CO)C=O
[*]C([H])([H])C(O)([H])[*],OC(C(OC(C1O)CO)C[*])C1O[*]
O=C1C([*])C(CC[*])C(O1)=O,[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,OC1C(OC(C(C1O)O)[*])CO[*]
COC(C(C[*])([*])C)=O,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*]
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO
[*]C1=C2C(OCCO2)=C([*])S1,[*]CCCC[*]
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,OC1C(OC(C(C1O)O)[*])CO[*]
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C(OCCCO[*])=O
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*]
[*]OCC[*],O=C1CCCN1C([*])C[*]
[*]C/C=C(C[*])\Cl,[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]C(C)C(OCC(O[*])=O)=O,CCCCCCC1=C(SC([*])=C1)[*]
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[*]CC(O[*])CN=[N+]=[N-]
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(N([*])C([*])=O)CC=C
C/C(C[*])=C/C[*],[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O
O=C(N)C([*])C[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
[*]CCCC([*])C(OC)=O,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
O=C([*])C(C)O[*],[*]CC1=CC=C(C(Cl)=C1)C[*]
[*]CC(C1=CC=CC=C1)[*],COC(C(C[*])([*])C)=O
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,CC(C=C([*])C=C1C)=C1O[*]
[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,[*]C(C(CCCC[NH3+])N[*])=O
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O
[*]C(C)C[*],[*]NCCCCCCCCCCCC([*])=O
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O
[*]CC([*])Cl,[*]C(C(OC(O[*])C=O)CO)C=O
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]CC(O[*])CN=[N+]=[N-]
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
OCC1OC(C(C(C1O[*])O)O)[*],[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O
[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]CC([*])CC
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],[*]C(C(CCCC[NH3+])N[*])=O
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*]CCC1C([*])C2CCC1C2,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]C/C=C/C[*],[*]CCCCO[*]
[*]CC(C1=CC=CC=C1)[*],CC(O[*])CC([*])=O
[*]C(C=C1)=CC=C1S[*],[*]NC(CCC([*])=O)C(O)=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C(C(OC(CO[*])=O)C)=O
[*]CC(C#N)[*],C[Si](C)(C[*])O[*]
O=C1CCCN1C([*])C[*],[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],O=C(N([*])C([*])=O)CC=C
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3
[*]NC(C(O)=O)CCC([*])=O,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*]
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O
[*]C(C)C[*],[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],O=C(O)C([*])C[*]
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O
O=C1C([*])C(CC[*])C(O1)=O,[*]CC(C(CCC)=O)([*])C
[*]C(C)C(OCC(O[*])=O)=O,[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O
O=C([*])CCCCCN[*],O=C(C(C[*])[*])N
[*]C(N[*])=O,CC(O[*])CC([*])=O
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]O[C@H](C)CC([*])=O
[*]CC([*])CC,OC(C([*])C[*])=O
[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]NC(C(O)=O)CCC([*])=O,[*]C/C=C\CCC(C=C)[*]
[*]CC[*],[*]CCCC([*])C(OC)=O
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CCCC(CCCCCC)[*]
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],O=C1C([*])C(CC[*])C(O1)=O
[*]C1=C2C(OCCO2)=C([*])S1,CC(CO[*])[*]
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]OCCCCOC(CCC([*])=O)=O
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]CCCC(CCCCCC)[*],OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O
[*]C(F)(C(F)([*])F)F,[*]CC1=CC=C(C(Cl)=C1)C[*]
