SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),Source,Young's Modulus (kPa)
C[Si](O[*])(C)[*],[*]CCC(CCCCCC)C[*],,4.423245873936808,,10.1080_09205063.2020.1856300_part_3.txt_段1_Material2,26500.000000000004
C[Si](O[*])(C)[*],[*]CCN[*],,4.431363764158987,,10.1016_j.jmbbm.2016.01.014_part_2.txt_段1_Material2,26999.999999999975
C[Si](O[*])(C)[*],[*]CC[*],,5.544068044350276,,10.1002_app.46192_part_2.txt_段1_Material1,350000.0
C[Si](O[*])(C)[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,3.0,,10.1002_pc.24445_part_2.txt_段1_Material1,1000.0
C[Si](O[*])(C)[*],[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,3.1583624920952498,,10.1039_d0tb02465a_part_2.txt_段1_Material1,1440.0000000000005
C[Si](O[*])(C)[*],[*]OCC[*],,2.740362689494244,,10.3390_polym12071520_part_2.txt_段1_Material1,550.0000000000003
C[Si](O[*])(C)[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,3.6232492903979,,10.1016_j.apsusc.2012.10.043_part_1.txt_段1_Material1,4199.9999999999945
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC(C=C([*])C=C1C)=C1O[*],,6.361727836017593,,10.1007_s13233-020-8075-3_part_2.txt_段1_Material2,2300000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],COC(C(C[*])([*])C)=O,,6.409933123331294,,10.1016_j.polymdegradstab.2017.11.001_part_6.txt_段1_Material1,2569999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,6.477121254719663,,10.4028_www.scientific.net_amr.912-914.445_part_3.txt_段1_Material2,3000000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,7.021189299069938,,10.1590_1516-1439.281914_part_2.txt_段1_Material2,10500000.000000006
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,3.413299764081252,,10.5301_jabfm.5000189_part_1.txt_段1_Material1,2590.0000000000005
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(O)C([*])C[*],,4.260071387985075,,10.1016_j.reactfunctpolym.2017.11.001_part_1.txt_段1_Material4,18200.000000000015
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C(C)O[*],,6.0,,10.1051_matecconf_201925302005_part_1.txt_段1_Material1,1000000.0
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,6.740362689494244,,10.1177_0954008316661616_part_3.txt_段1_Material1,5500000.000000004
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,,6.099231615080882,,10.1016_j.compscitech.2012.01.008_part_1.txt_段1_Material1,1256699.9999999998
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])CCCCCN[*],,6.431363764158987,,10.1016_j.compositesb.2021.108928_part_1.txt_段1_Material1,2699999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,6.142702245737616,,10.4028_www.scientific.net_amr.750-752.858_part_1.txt_段1_Material1,1389000.0000000012
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,6.238046103128795,,10.1021_acs.iecr.8b06362_part_2.txt_段1_Material1,1729999.9999999986
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,6.950851458888547,,10.1016_j.colsurfa.2019.05.090_part_1.txt_段1_Material1,8930000.000000007
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OCC1OC(C(C(C1O[*])O)O)[*],,4.819543935541868,,10.1177_0040517511407381_part_1.txt_段1_Material1,65999.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,6.612783856719736,,10.18280_rcma.320204_OA_part_2.txt_段1_Material1,4100000.000000008
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],,5.7160033436348,,10.1007_s00289-016-1748-6_part_3.txt_段1_Material1,520000.0000000014
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,6.614897216033135,,10.1002_adv.21918_part_1.txt_段1_Material1,4120000.000000008
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,,5.00902574208691,,10.1016_j.matpr.2017.06.173_part_2.txt_段1_Material1,102100.00000000004
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(CCCCCO[*])=O,,5.37383114507383,,10.1016_j.polymer.2020.122573_part_2.txt_段1_Material2,236499.99999999997
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(F)(C(F)([*])F)F,,6.477121254719663,,10.1080_03602559.2016.1247281_part_6.txt_段1_Material2,3000000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C([H])([H])C(O)([H])[*],,4.862250674597925,,10.1016_j.colsurfa.2013.07.014_part_2.txt_段1_Material4,72819.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C/C=C/C[*],,6.466867620354109,,10.1007_s42452-019-1406-3_part_2.txt_段1_Material1,2929999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,5.188084373714938,,10.1007_s13233-016-4140-3_part_1.txt_段1_Material1,154199.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,,6.079181246047625,,10.1016_j.jiec.2015.03.022_part_1.txt_段1_Material1,1200000.0000000007
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,6.146128035678238,,10.1007_s10924-021-02073-x_part_2.txt_段1_Material3,1400000.0000000005
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C#N)[*],,5.326335860928752,,10.1002_pc.23015_part_1.txt_段1_Material1,212000.00000000012
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,6.768638101247615,,10.26599_nr.2025.94907500_OA_part_1.txt_段1_Material1,5870000.000000006
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C1=CC=CC=C1)[*],,5.48572142648158,,10.1016_j.polymertesting.2020.106755_part_1.txt_段1_Material3,305999.99999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,5.507072896756503,,10.1177_204124791700800403_part_3.txt_段1_Material1,321419.9999999998
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,5.676693609624866,,10.1039_c6gc01198e_part_2.txt_段1_Material1,474999.99999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC([*])Cl,,6.361727836017593,,10.3139_217.3307_part_2.txt_段1_Material2,2300000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CCCCOCCCCOCCCCOCCCCO[*],,6.079181246047625,,10.1177_0954008315613423_part_2.txt_段1_Material1,1200000.0000000007
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]NC(C(O)=O)CCC([*])=O,,6.14705767102836,,10.3390_polym13030452_part_3.txt_段1_Material1,1403000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,5.195456833628169,,10.1088_1757-899x_87_1_012108_part_1.txt_段1_Material1,156840.00000000003
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,5.643551368562945,,10.1016_j.sciaf.2021.e00755_part_2.txt_段1_Material2,440099.99999999994
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCC[*],,6.016197353512439,,10.1016_j.polymer.2015.09.024_part_3.txt_段1_Material3,1037999.9999999997
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]O[C@H](C)CC([*])=O,,6.146128035678238,,10.1007_s10924-021-02073-x_part_2.txt_段1_Material2,1400000.0000000005
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,6.0,,10.1002_app.41246_part_1.txt_段1_Material1,1000000.0
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,6.334453751150931,,10.1177_15280837211019901_part_3.txt_段1_Material1,2159999.999999999
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],[*]C(C)C[*],,7.276921132065774,,10.1016_j.compositesa.2016.08.031_part_2.txt_段1_Material3,18920000.000000004
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,7.483587296968894,,10.1016_j.polymertesting.2020.106680_part_1.txt_段1_Material1,30449999.99999998
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],,7.477121254719663,,10.1002_app.36442_part_2.txt_段1_Material3,30000000.00000001
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,6.479393896404411,,10.1177_09540083211014936_part_1.txt_段1_Material1,3015739.999999997
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,7.477121254719663,,10.1002_app.36442_part_2.txt_段1_Material1,30000000.00000001
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],C[Si](C)(C[*])O[*],,6.113943352306837,,10.1002_app.50170_part_3.txt_段1_Material1,1300000.0000000005
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,6.201397124320452,,10.1038_srep37010_part_1.txt_段1_Material1,1590000.000000001
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],O=C([*])CCCCCN[*],,6.986771734266245,,10.1088_1742-6596_1765_1_012003_part_1.txt_段1_Material1,9700000.000000007
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.474216264076255,,10.1016_j.compositesb.2018.12.148_part_5.txt_段1_Material1,2980000.0000000005
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(C)C[*],,6.004136436761356,,10.1016_j.matdes.2009.10.031_part_1.txt_段1_Material1,1009570.0000000009
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(F)(C(F)([*])F)F,,6.434888120867316,,10.1177_0954008312446765_part_1.txt_段1_Material1,2722000.0000000014
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,8.122543524068755,,10.1088_2053-1591_ab3021_part_4.txt_段1_Material2,132600000.00000018
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]CC[*],,6.281033367247727,,10.1016_j.matpr.2020.04.463_part_2.txt_段1_Material1,1909999.9999999986
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]OC1=C(C([*])=CC=C1C)C,,5.953421399681036,,10.1002_pen.24484_part_2.txt_段1_Material1,898300.0000000024
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,6.518513939877887,,10.1080_15685543.2013.813185_part_1.txt_段1_Material1,3299999.9999999967
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.348304863048161,,10.3139_217.3142_part_1.txt_段1_Material1,2230000.0
