来源,Material Name,Polymer A Name,Polymer A Type,Polymer A Role,Polymer B Name,Polymer B Type,Polymer B Role,Polymer C Name,Polymer C Type,Polymer C Role,Polymer D Name,Polymer D Type,Polymer D Role,Polymer E Name,Polymer E Type,Polymer E Role,Polymer Structure Type,Copolymerized/Blended/Crosslinked/Filled With,Material A Name,Material A Type,Material A Role,Material B Name,Material B Type,Material B Role,Material C Name,Material C Type,Material C Role,Material D Name,Material D Type,Material D Role,Material E Name,Material E Type,Material E Role,Tensile Strength,Elongation at Break,Young's Modulus,Flexural Modulus,Impact Strength,Stress-Strain,Hardness,Glass Transition,Melting Point
10.1016_j.compositesa.2015.05.007_part_2.txt_段1_Material2,UHMWPE-0.05 wt.% HARC (PE-0.05HARC),UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,HARC (High Aspect Ratio CNTs),HARC,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,123 °C
10.1016_j.compositesa.2015.05.007_part_2.txt_段1_Material3,UHMWPE-0.1 wt.% HARC (PE-0.1HARC),UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,HARC (High Aspect Ratio CNTs),HARC,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,123 °C
10.1016_j.compositesa.2015.05.007_part_2.txt_段1_Material4,UHMWPE-0.05 wt.% LARC (PE-0.05LARC),UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,LARC (Low Aspect Ratio CNTs),LARC,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,123 °C
10.1016_j.compositesa.2015.05.007_part_2.txt_段1_Material5,UHMWPE-0.1 wt.% LARC (PE-0.1LARC),UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,LARC (Low Aspect Ratio CNTs),LARC,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,123 °C
10.1016_j.compositesa.2015.05.007_part_4.txt_段1_Material1,UHMWPE composite with multi-walled carbon nanotubes,UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,multi-walled carbon nanotubes,multi-walled carbon nanotubes,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_4.txt_段1_Material2,UHMWPE/HDPE blend reinforced with multi-wall carbon nanotubes,UHMWPE,Homopolymer,Matrix,HDPE,Homopolymer,Blend component,,,,,,,,,,Blend,"HDPE, multi-wall carbon nanotubes",multi-wall carbon nanotubes,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_4.txt_段1_Material3,Crosslinked ultra-high-molecular-weight polyethylene,UHMWPE,Crosslinked polymer,Matrix,,,,,,,,,,,,,Crosslinked,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_4.txt_段1_Material4,UHMWPE-graphene nanoplatelet composite,UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,graphene nanoplatelets,graphene nanoplatelets,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_4.txt_段1_Material5,UHMWPE-Hydroxyapatite-Aluminium Oxide-Carbon Nanotube hybrid composite,UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,"Hydroxyapatite, Aluminium Oxide, Carbon Nanotubes",Hydroxyapatite,Inorganic nanoparticle,Reinforcement,Aluminium Oxide,Inorganic nanoparticle,Reinforcement,Carbon Nanotubes,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_5.txt_段1_Material1,PE-0.1HARC,UHMWPE (PE),Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,High aspect ratio CNT,High aspect ratio CNT,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_5.txt_段1_Material2,PE-0.1LARC,UHMWPE (PE),Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,Low aspect ratio CNT,Low aspect ratio CNT,Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,,,,
